Slug,English,German,Spanish,French,Italian,Japanese
kb_090,seems to be falling asleep,,parece estar a punto de dormirse.,,,
kb_100,dozes off,,se ha quedado dormido.,,,
kb_110,recovered from its status problem with the help from an item,,se ha curado de su problema de estado con la ayuda de un objeto.,,,
kb_120,Attacked by Future Sight. Didn't see that coming.,,Ha sido alcanzado por el ataque Premonición. Eso sí que no se lo ha visto venir.,,,
kb_130,The count of Perish Song falls by one.,,"La cuenta atrás de Canto Mortal avanza. ",,,
kb_132,The countdown of the Perish Song has begun.,,La cuenta atrás de Canto Mortal ha comenzado.,,,
kb_140,The count of Perish Song falls one more.,,La cuenta atrás de Canto Mortal sigue inexorable.,,,
kb_150,restored its health again,,ha vuelto a recobrar su salud.,,,
kb_160,restored its health and feels the relief,,se siente más aliviado traz recuperar su salud.,,,
kb_170,restored its health,,ha recobrado su salud.,,,
kb_180,is losing its health,,está perdiendo salud.,,,
kb_190,is slowly losing its health,,está perdiendo la salud poco a poco.,,,
kb_200,It's speeding up.,,Se está acelerando.,,,
kl_010,But no one was affected.,,,,,
kl_020,This is getting dangerous.,,Eso no pinta nada bien.,,,
kl_030,It's not gonna be able to withstand much more.,,No aguantará mucho más.,,,
la010_0,Here we go. The Battle is about to begin.,,"Damas y caballeros, el combate está a punto de comenzar.",,,
la010_1,It's gonna be interesting to see how this turns out.,,Será muy emocionante ver como se desarrolla el combate.,,,
la010_2_ml,It's all eyes on the Challengers.,,El público no quita ojo a los contendientes.,,,
la030_0,"surrounded by cascading water, the Battle is about to begin",,El combate está a punto de comenzar en este paraje idílico.,,,
la030_1,The sound of falling water echos in the air.,,El sonido del agua a caer resueña en el aire.,,,
la040_0,This elegant and colorful Colosseum is filled with excitement.,,,,,
la050_0,The air is starting to feel tense in this underground cave.,,,,,
la060_0,A battle is about to unfold at this popular picnic place.,,"Este parque será, ¡oye!, el escenario de una emocionante lucha.",,,
la080_0,"Surrounded by magma, a superheated battle is about to begin.",,La lava que rodea la arena de combate parece caldear aún más el ambiente.,,,
la090_0,"As the sun sets on the horizon, a battle is about to begin.",,La puesta de sol señala el inicio del combate.,,,
la092_0,The courtyard of this peaceful castle is about to become an all-out battlefield.,,"En el patio de este imponente castillo, se vivirá una batalla campal.",,,
la094_0,Only the best Pokémon trainers can participate in this grand and decisive battle.,,Sólo los mejores entrenadores Pokémon pueden participar en este gran desafío.,,,
la096_0,The battle of the century quietly begins.,,Todo está preparado para el combate del siglo.,,,
la100_0_ml,Can the Challenger win once more?,,¿Logrará el equipo aspirante superarse a sí mismo?,,,
la100_1_ml,What kind of battle can we expect from the Challenger this time?,,¿Con qué nos sorprenderá el equipo aspirante en esta ocasión?,,,
la190_0,,,,,,
la190_1,A returning Challenger? What kind of battle can we expect from them this time?,,,,,
la250_0_ml,This battle is all about vengeance for the Challenger.,,El aspirante piensa tomarse la revancha.,,,
la250_1_ml,A returning Challenger? What kind of battle can we expect from them this time?,,El asipirante vuelva a la carga. ¿Cuál será su estrategia esta vez?,,,
la250_2_ml,What kind of battle strategy will the Challenger have this time?,,¿Qué táctica seguirá el aspirante en esta ocasión?,,,
la260_1_ml,Can the Challenger tear down the wall in front of them?,,¿Podrá el equipo aspirante superar los obstáculos que le esperan?,,,
la260_2_ml,"Despite their previous failure, the Challenger has returned.",,,,,
la310_0,,,,,,
la320_0,has already secured victory but let's hope they still bring their best game,,"tiene asegurada la victoria, pero esperamos que nos obsequie igualmente con una actuación estelar.",,,
la322_0,needs to win this battle to secure victory,,necesita ganar este combate para segurarse la victoria.,,,
la324_0,still has a chance to win this,,aún tiene posibilidades de alzarse con la victoria.,,,
la326_0,must be tired but let's hope there's still some fight left,,"debe notar el cansancio, aún así esperamos verla pelear con uñas y dientes.",,,
lb030_0,It's time to think about a cautious battle strategy.,,Tendrán que plantearse cuidadosamente su estrategia.,,,
lb030_1,Neither side can afford to give up in this battle.,,No se pueden permitir ningún desliz.,,,
pk001_1,,,,,,
pk001_2,,,,,,
pk001_3,,,,,,
pk001_4,,,,,,
pk001_5,,,,,,
pk002_1,,,,,,
pk002_2,,,,,,
pk002_3,,,,,,
pk002_4,,,,,,
pk002_5,,,,,,
pk003_1,,,,,,
pk003_2,,,,,,
pk003_3,,,,,,
pk003_4,,,,,,
pk003_5,,,,,,
pk004_1,,,,,,
pk004_2,,,,,,
pk004_3,,,,,,
pk004_4,,,,,,
pk004_5,,,,,,
pk005_1,,,,,,
pk005_2,,,,,,
pk005_3,,,,,,
pk005_4,,,,,,
pk005_5,,,,,,
pk006_1,,,,,,
pk006_2,,,,,,
pk006_3,,,,,,
pk006_4,,,,,,
pk006_5,,,,,,
pk007_1,,,,,,
pk007_2,,,,,,
pk007_3,,,,,,
pk007_4,,,,,,
pk007_5,,,,,,
pk008_1,,,,,,
pk008_2,,,,,,
pk008_3,,,,,,
pk008_4,,,,,,
pk008_5,,,,,,
pk009_1,,,,,,
pk009_2,,,,,,
pk009_3,,,,,,
pk009_4,,,,,,
pk009_5,,,,,,
pk010_1,,,,,,
pk010_2,,,,,,
pk010_3,,,,,,
pk010_4,,,,,,
pk010_5,,,,,,
pk011_1,,,,,,
pk011_2,,,,,,
pk011_3,,,,,,
pk011_4,,,,,,
pk011_5,,,,,,
pk012_1,,,,,,
pk012_2,,,,,,
pk012_3,,,,,,
pk012_4,,,,,,
pk012_5,,,,,,
pk013_1,,,,,,
pk013_2,,,,,,
pk013_3,,,,,,
pk013_4,,,,,,
pk013_5,,,,,,
pk014_1,,,,,,
pk014_2,,,,,,
pk014_3,,,,,,
pk014_4,,,,,,
pk014_5,,,,,,
pk015_1,,,,,,
pk015_2,,,,,,
pk015_3,,,,,,
pk015_4,,,,,,
pk015_5,,,,,,
pk016_1,,,,,,
pk016_2,,,,,,
pk016_3,,,,,,
pk016_4,,,,,,
pk016_5,,,,,,
pk017_1,,,,,,
pk017_2,,,,,,
pk017_3,,,,,,
pk017_4,,,,,,
pk017_5,,,,,,
pk018_1,,,,,,
pk018_2,,,,,,
pk018_3,,,,,,
pk018_4,,,,,,
pk018_5,,,,,,
pk019_1,,,,,,
pk019_2,,,,,,
pk019_3,,,,,,
pk019_4,,,,,,
pk019_5,,,,,,
pk020_1,,,,,,
pk020_2,,,,,,
pk020_3,,,,,,
pk020_4,,,,,,
pk020_5,,,,,,
pk021_1,,,,,,
pk021_2,,,,,,
pk021_3,,,,,,
pk021_4,,,,,,
pk021_5,,,,,,
pk022_1,,,,,,
pk022_2,,,,,,
pk022_3,,,,,,
pk022_4,,,,,,
pk022_5,,,,,,
pk023_1,,,,,,
pk023_2,,,,,,
pk023_3,,,,,,
pk023_4,,,,,,
pk023_5,,,,,,
pk024_1,,,,,,
pk024_2,,,,,,
pk024_3,,,,,,
pk024_4,,,,,,
pk024_5,,,,,,
pk025_1,,,,,,
pk025_2,,,,,,
pk025_3,,,,,,
pk025_4,,,,,,
pk025_5,,,,,,
pk026_1,,,,,,
pk026_2,,,,,,
pk026_3,,,,,,
pk026_4,,,,,,
pk026_5,,,,,,
pk027_1,,,,,,
pk027_2,,,,,,
pk027_3,,,,,,
pk027_4,,,,,,
pk027_5,,,,,,
pk028_1,,,,,,
pk028_2,,,,,,
pk028_3,,,,,,
pk028_4,,,,,,
pk028_5,,,,,,
pk029_1,,,,,,
pk029_2,,,,,,
pk029_3,,,,,,
pk029_4,,,,,,
pk029_5,,,,,,
pk030_1,,,,,,
pk030_2,,,,,,
pk030_3,,,,,,
pk030_4,,,,,,
pk030_5,,,,,,
pk031_1,,,,,,
pk031_2,,,,,,
pk031_3,,,,,,
pk031_4,,,,,,
pk031_5,,,,,,
pk032_1,,,,,,
pk032_2,,,,,,
pk032_3,,,,,,
pk032_4,,,,,,
pk032_5,,,,,,
pk033_1,,,,,,
pk033_2,,,,,,
pk033_3,,,,,,
pk033_4,,,,,,
pk033_5,,,,,,
pk034_1,,,,,,
pk034_2,,,,,,
pk034_3,,,,,,
pk034_4,,,,,,
pk034_5,,,,,,
pk035_1,,,,,,
pk035_2,,,,,,
pk035_3,,,,,,
pk035_4,,,,,,
pk035_5,,,,,,
pk036_1,,,,,,
pk036_2,,,,,,
pk036_3,,,,,,
pk036_4,,,,,,
pk036_5,,,,,,
pk037_1,,,,,,
pk037_2,,,,,,
pk037_3,,,,,,
pk037_4,,,,,,
pk037_5,,,,,,
pk038_1,,,,,,
pk038_2,,,,,,
pk038_3,,,,,,
pk038_4,,,,,,
pk038_5,,,,,,
pk039_1,,,,,,
pk039_2,,,,,,
pk039_3,,,,,,
pk039_4,,,,,,
pk039_5,,,,,,
pk040_1,,,,,,
pk040_2,,,,,,
pk040_3,,,,,,
pk040_4,,,,,,
pk040_5,,,,,,
pk041_1,,,,,,
pk041_2,,,,,,
pk041_3,,,,,,
pk041_4,,,,,,
pk041_5,,,,,,
pk042_1,,,,,,
pk042_2,,,,,,
pk042_3,,,,,,
pk042_4,,,,,,
pk042_5,,,,,,
pk043_1,,,,,,
pk043_2,,,,,,
pk043_3,,,,,,
pk043_4,,,,,,
pk043_5,,,,,,
pk044_1,,,,,,
pk044_2,,,,,,
pk044_3,,,,,,
pk044_4,,,,,,
pk044_5,,,,,,
pk045_1,,,,,,
pk045_2,,,,,,
pk045_3,,,,,,
pk045_4,,,,,,
pk045_5,,,,,,
pk046_1,,,,,,
pk046_2,,,,,,
pk046_3,,,,,,
pk046_4,,,,,,
pk046_5,,,,,,
pk047_1,,,,,,
pk047_2,,,,,,
pk047_3,,,,,,
pk047_4,,,,,,
pk047_5,,,,,,
pk048_1,,,,,,
pk048_2,,,,,,
pk048_3,,,,,,
pk048_4,,,,,,
pk048_5,,,,,,
pk049_1,,,,,,
pk049_2,,,,,,
pk049_3,,,,,,
pk049_4,,,,,,
pk049_5,,,,,,
pk050_1,,,,,,
pk050_2,,,,,,
pk050_3,,,,,,
pk050_4,,,,,,
pk050_5,,,,,,
pk051_1,,,,,,
pk051_2,,,,,,
pk051_3,,,,,,
pk051_4,,,,,,
pk051_5,,,,,,
pk052_1,,,,,,
pk052_2,,,,,,
pk052_3,,,,,,
pk052_4,,,,,,
pk052_5,,,,,,
pk053_1,,,,,,
pk053_2,,,,,,
pk053_3,,,,,,
pk053_4,,,,,,
pk053_5,,,,,,
pk054_1,,,,,,
pk054_2,,,,,,
pk054_3,,,,,,
pk054_4,,,,,,
pk054_5,,,,,,
pk055_1,,,,,,
pk055_2,,,,,,
pk055_3,,,,,,
pk055_4,,,,,,
pk055_5,,,,,,
pk056_1,,,,,,
pk056_2,,,,,,
pk056_3,,,,,,
pk056_4,,,,,,
pk056_5,,,,,,
pk057_1,,,,,,
pk057_2,,,,,,
pk057_3,,,,,,
pk057_4,,,,,,
pk057_5,,,,,,
pk058_1,,,,,,
pk058_2,,,,,,
pk058_3,,,,,,
pk058_4,,,,,,
pk058_5,,,,,,
pk059_1,,,,,,
pk059_2,,,,,,
pk059_3,,,,,,
pk059_4,,,,,,
pk059_5,,,,,,
pk060_1,,,,,,
pk060_2,,,,,,
pk060_3,,,,,,
pk060_4,,,,,,
pk060_5,,,,,,
pk061_1,,,,,,
pk061_2,,,,,,
pk061_3,,,,,,
pk061_4,,,,,,
pk061_5,,,,,,
pk062_1,,,,,,
pk062_2,,,,,,
pk062_3,,,,,,
pk062_4,,,,,,
pk062_5,,,,,,
pk063_1,,,,,,
pk063_2,,,,,,
pk063_3,,,,,,
pk063_4,,,,,,
pk063_5,,,,,,
pk064_1,,,,,,
pk064_2,,,,,,
pk064_3,,,,,,
pk064_4,,,,,,
pk064_5,,,,,,
pk065_1,,,,,,
pk065_2,,,,,,
pk065_3,,,,,,
pk065_4,,,,,,
pk065_5,,,,,,
pk066_1,,,,,,
pk066_2,,,,,,
pk066_3,,,,,,
pk066_4,,,,,,
pk066_5,,,,,,
pk067_1,,,,,,
pk067_2,,,,,,
pk067_3,,,,,,
pk067_4,,,,,,
pk067_5,,,,,,
pk068_1,,,,,,
pk068_2,,,,,,
pk068_3,,,,,,
pk068_4,,,,,,
pk068_5,,,,,,
pk069_1,,,,,,
pk069_2,,,,,,
pk069_3,,,,,,
pk069_4,,,,,,
pk069_5,,,,,,
pk070_1,,,,,,
pk070_2,,,,,,
pk070_3,,,,,,
pk070_4,,,,,,
pk070_5,,,,,,
pk071_1,,,,,,
pk071_2,,,,,,
pk071_3,,,,,,
pk071_4,,,,,,
pk071_5,,,,,,
pk072_1,,,,,,
pk072_2,,,,,,
pk072_3,,,,,,
pk072_4,,,,,,
pk072_5,,,,,,
pk073_1,,,,,,
pk073_2,,,,,,
pk073_3,,,,,,
pk073_4,,,,,,
pk073_5,,,,,,
pk074_1,,,,,,
pk074_2,,,,,,
pk074_3,,,,,,
pk074_4,,,,,,
pk074_5,,,,,,
pk075_1,,,,,,
pk075_2,,,,,,
pk075_3,,,,,,
pk075_4,,,,,,
pk075_5,,,,,,
pk076_1,,,,,,
pk076_2,,,,,,
pk076_3,,,,,,
pk076_4,,,,,,
pk076_5,,,,,,
pk077_1,,,,,,
pk077_2,,,,,,
pk077_3,,,,,,
pk077_4,,,,,,
pk077_5,,,,,,
pk078_1,,,,,,
pk078_2,,,,,,
pk078_3,,,,,,
pk078_4,,,,,,
pk078_5,,,,,,
pk079_1,,,,,,
pk079_2,,,,,,
pk079_3,,,,,,
pk079_4,,,,,,
pk079_5,,,,,,
pk080_1,,,,,,
pk080_2,,,,,,
pk080_3,,,,,,
pk080_4,,,,,,
pk080_5,,,,,,
pk081_1,,,,,,
pk081_2,,,,,,
pk081_3,,,,,,
pk081_4,,,,,,
pk081_5,,,,,,
pk082_1,,,,,,
pk082_2,,,,,,
pk082_3,,,,,,
pk082_4,,,,,,
pk082_5,,,,,,
pk083_1,,,,,,
pk083_2,,,,,,
pk083_3,,,,,,
pk083_4,,,,,,
pk083_5,,,,,,
pk084_1,,,,,,
pk084_2,,,,,,
pk084_3,,,,,,
pk084_4,,,,,,
pk084_5,,,,,,
pk085_1,,,,,,
pk085_2,,,,,,
pk085_3,,,,,,
pk085_4,,,,,,
pk085_5,,,,,,
pk086_1,,,,,,
pk086_2,,,,,,
pk086_3,,,,,,
pk086_4,,,,,,
pk086_5,,,,,,
pk087_1,,,,,,
pk087_2,,,,,,
pk087_3,,,,,,
pk087_4,,,,,,
pk087_5,,,,,,
pk088_1,,,,,,
pk088_2,,,,,,
pk088_3,,,,,,
pk088_4,,,,,,
pk088_5,,,,,,
pk089_1,,,,,,
pk089_2,,,,,,
pk089_3,,,,,,
pk089_4,,,,,,
pk089_5,,,,,,
pk090_1,,,,,,
pk090_2,,,,,,
pk090_3,,,,,,
pk090_4,,,,,,
pk090_5,,,,,,
pk091_1,,,,,,
pk091_2,,,,,,
pk091_3,,,,,,
pk091_4,,,,,,
pk091_5,,,,,,
pk092_1,,,,,,
pk092_2,,,,,,
pk092_3,,,,,,
pk092_4,,,,,,
pk092_5,,,,,,
pk093_1,,,,,,
pk093_2,,,,,,
pk093_3,,,,,,
pk093_4,,,,,,
pk093_5,,,,,,
pk094_1,,,,,,
pk094_2,,,,,,
pk094_3,,,,,,
pk094_4,,,,,,
pk094_5,,,,,,
pk095_1,,,,,,
pk095_2,,,,,,
pk095_3,,,,,,
pk095_4,,,,,,
pk095_5,,,,,,
pk096_1,,,,,,
pk096_2,,,,,,
pk096_3,,,,,,
pk096_4,,,,,,
pk096_5,,,,,,
pk097_1,,,,,,
pk097_2,,,,,,
pk097_3,,,,,,
pk097_4,,,,,,
pk097_5,,,,,,
pk098_1,,,,,,
pk098_2,,,,,,
pk098_3,,,,,,
pk098_4,,,,,,
pk098_5,,,,,,
pk099_1,,,,,,
pk099_2,,,,,,
pk099_3,,,,,,
pk099_4,,,,,,
pk099_5,,,,,,
pk100_1,,,,,,
pk100_2,,,,,,
pk100_3,,,,,,
pk100_4,,,,,,
pk100_5,,,,,,
pk101_1,,,,,,
pk101_2,,,,,,
pk101_3,,,,,,
pk101_4,,,,,,
pk101_5,,,,,,
pk102_1,,,,,,
pk102_2,,,,,,
pk102_3,,,,,,
pk102_4,,,,,,
pk102_5,,,,,,
pk103_1,,,,,,
pk103_2,,,,,,
pk103_3,,,,,,
pk103_4,,,,,,
pk103_5,,,,,,
pk104_1,,,,,,
pk104_2,,,,,,
pk104_3,,,,,,
pk104_4,,,,,,
pk104_5,,,,,,
pk105_1,,,,,,
pk105_2,,,,,,
pk105_3,,,,,,
pk105_4,,,,,,
pk105_5,,,,,,
pk106_1,,,,,,
pk106_2,,,,,,
pk106_3,,,,,,
pk106_4,,,,,,
pk106_5,,,,,,
pk107_1,,,,,,
pk107_2,,,,,,
pk107_3,,,,,,
pk107_4,,,,,,
pk107_5,,,,,,
pk108_1,,,,,,
pk108_2,,,,,,
pk108_3,,,,,,
pk108_4,,,,,,
pk108_5,,,,,,
pk109_1,,,,,,
pk109_2,,,,,,
pk109_3,,,,,,
pk109_4,,,,,,
pk109_5,,,,,,
pk110_1,,,,,,
pk110_2,,,,,,
pk110_3,,,,,,
pk110_4,,,,,,
pk110_5,,,,,,
pk111_1,,,,,,
pk111_2,,,,,,
pk111_3,,,,,,
pk111_4,,,,,,
pk111_5,,,,,,
pk112_1,,,,,,
pk112_2,,,,,,
pk112_3,,,,,,
pk112_4,,,,,,
pk112_5,,,,,,
pk113_1,,,,,,
pk113_2,,,,,,
pk113_3,,,,,,
pk113_4,,,,,,
pk113_5,,,,,,
pk114_1,,,,,,
pk114_2,,,,,,
pk114_3,,,,,,
pk114_4,,,,,,
pk114_5,,,,,,
pk115_1,,,,,,
pk115_2,,,,,,
pk115_3,,,,,,
pk115_4,,,,,,
pk115_5,,,,,,
pk116_1,,,,,,
pk116_2,,,,,,
pk116_3,,,,,,
pk116_4,,,,,,
pk116_5,,,,,,
pk117_1,,,,,,
pk117_2,,,,,,
pk117_3,,,,,,
pk117_4,,,,,,
pk117_5,,,,,,
pk118_1,,,,,,
pk118_2,,,,,,
pk118_3,,,,,,
pk118_4,,,,,,
pk118_5,,,,,,
pk119_1,,,,,,
pk119_2,,,,,,
pk119_3,,,,,,
pk119_4,,,,,,
pk119_5,,,,,,
pk120_1,,,,,,
pk120_2,,,,,,
pk120_3,,,,,,
pk120_4,,,,,,
pk120_5,,,,,,
pk121_1,,,,,,
pk121_2,,,,,,
pk121_3,,,,,,
pk121_4,,,,,,
pk121_5,,,,,,
pk122_1,,,,,,
pk122_2,,,,,,
pk122_3,,,,,,
pk122_4,,,,,,
pk122_5,,,,,,
pk123_1,,,,,,
pk123_2,,,,,,
pk123_3,,,,,,
pk123_4,,,,,,
pk123_5,,,,,,
pk124_1,,,,,,
pk124_2,,,,,,
pk124_3,,,,,,
pk124_4,,,,,,
pk124_5,,,,,,
pk125_1,,,,,,
pk125_2,,,,,,
pk125_3,,,,,,
pk125_4,,,,,,
pk125_5,,,,,,
pk126_1,,,,,,
pk126_2,,,,,,
pk126_3,,,,,,
pk126_4,,,,,,
pk126_5,,,,,,
pk127_1,,,,,,
pk127_2,,,,,,
pk127_3,,,,,,
pk127_4,,,,,,
pk127_5,,,,,,
pk128_1,,,,,,
pk128_2,,,,,,
pk128_3,,,,,,
pk128_4,,,,,,
pk128_5,,,,,,
pk129_1,,,,,,
pk129_2,,,,,,
pk129_3,,,,,,
pk129_4,,,,,,
pk129_5,,,,,,
pk130_1,,,,,,
pk130_2,,,,,,
pk130_3,,,,,,
pk130_4,,,,,,
pk130_5,,,,,,
pk131_1,,,,,,
pk131_2,,,,,,
pk131_3,,,,,,
pk131_4,,,,,,
pk131_5,,,,,,
pk132_1,,,,,,
pk132_2,,,,,,
pk132_3,,,,,,
pk132_4,,,,,,
pk132_5,,,,,,
pk133_1,,,,,,
pk133_2,,,,,,
pk133_3,,,,,,
pk133_4,,,,,,
pk133_5,,,,,,
pk134_1,,,,,,
pk134_2,,,,,,
pk134_3,,,,,,
pk134_4,,,,,,
pk134_5,,,,,,
pk135_1,,,,,,
pk135_2,,,,,,
pk135_3,,,,,,
pk135_4,,,,,,
pk135_5,,,,,,
pk136_1,,,,,,
pk136_2,,,,,,
pk136_3,,,,,,
pk136_4,,,,,,
pk136_5,,,,,,
pk137_1,,,,,,
pk137_2,,,,,,
pk137_3,,,,,,
pk137_4,,,,,,
pk137_5,,,,,,
pk138_1,,,,,,
pk138_2,,,,,,
pk138_3,,,,,,
pk138_4,,,,,,
pk138_5,,,,,,
pk139_1,,,,,,
pk139_2,,,,,,
pk139_3,,,,,,
pk139_4,,,,,,
pk139_5,,,,,,
pk140_1,,,,,,
pk140_2,,,,,,
pk140_3,,,,,,
pk140_4,,,,,,
pk140_5,,,,,,
pk141_1,,,,,,
pk141_2,,,,,,
pk141_3,,,,,,
pk141_4,,,,,,
pk141_5,,,,,,
pk142_1,,,,,,
pk142_2,,,,,,
pk142_3,,,,,,
pk142_4,,,,,,
pk142_5,,,,,,
pk143_1,,,,,,
pk143_2,,,,,,
pk143_3,,,,,,
pk143_4,,,,,,
pk143_5,,,,,,
pk144_1,,,,,,
pk144_2,,,,,,
pk144_3,,,,,,
pk144_4,,,,,,
pk144_5,,,,,,
pk145_1,,,,,,
pk145_2,,,,,,
pk145_3,,,,,,
pk145_4,,,,,,
pk145_5,,,,,,
pk146_1,,,,,,
pk146_2,,,,,,
pk146_3,,,,,,
pk146_4,,,,,,
pk146_5,,,,,,
pk147_1,,,,,,
pk147_2,,,,,,
pk147_3,,,,,,
pk147_4,,,,,,
pk147_5,,,,,,
pk148_1,,,,,,
pk148_2,,,,,,
pk148_3,,,,,,
pk148_4,,,,,,
pk148_5,,,,,,
pk149_1,,,,,,
pk149_2,,,,,,
pk149_3,,,,,,
pk149_4,,,,,,
pk149_5,,,,,,
pk150_1,,,,,,
pk150_2,,,,,,
pk150_3,,,,,,
pk150_4,,,,,,
pk150_5,,,,,,
pk151_1,,,,,,
pk151_2,,,,,,
pk151_3,,,,,,
pk151_4,,,,,,
pk151_5,,,,,,
pk152_1,,,,,,
pk152_2,,,,,,
pk152_3,,,,,,
pk152_4,,,,,,
pk152_5,,,,,,
pk153_1,,,,,,
pk153_2,,,,,,
pk153_3,,,,,,
pk153_4,,,,,,
pk153_5,,,,,,
pk154_1,,,,,,
pk154_2,,,,,,
pk154_3,,,,,,
pk154_4,,,,,,
pk154_5,,,,,,
pk155_1,,,,,,
pk155_2,,,,,,
pk155_3,,,,,,
pk155_4,,,,,,
pk155_5,,,,,,
pk156_1,,,,,,
pk156_2,,,,,,
pk156_3,,,,,,
pk156_4,,,,,,
pk156_5,,,,,,
pk157_1,,,,,,
pk157_2,,,,,,
pk157_3,,,,,,
pk157_4,,,,,,
pk157_5,,,,,,
pk158_1,,,,,,
pk158_2,,,,,,
pk158_3,,,,,,
pk158_4,,,,,,
pk158_5,,,,,,
pk159_1,,,,,,
pk159_2,,,,,,
pk159_3,,,,,,
pk159_4,,,,,,
pk159_5,,,,,,
pk160_1,,,,,,
pk160_2,,,,,,
pk160_3,,,,,,
pk160_4,,,,,,
pk160_5,,,,,,
pk161_1,,,,,,
pk161_2,,,,,,
pk161_3,,,,,,
pk161_4,,,,,,
pk161_5,,,,,,
pk162_1,,,,,,
pk162_2,,,,,,
pk162_3,,,,,,
pk162_4,,,,,,
pk162_5,,,,,,
pk163_1,,,,,,
pk163_2,,,,,,
pk163_3,,,,,,
pk163_4,,,,,,
pk163_5,,,,,,
pk164_1,,,,,,
pk164_2,,,,,,
pk164_3,,,,,,
pk164_4,,,,,,
pk164_5,,,,,,
pk165_1,,,,,,
pk165_2,,,,,,
pk165_3,,,,,,
pk165_4,,,,,,
pk165_5,,,,,,
pk166_1,,,,,,
pk166_2,,,,,,
pk166_3,,,,,,
pk166_4,,,,,,
pk166_5,,,,,,
pk167_1,,,,,,
pk167_2,,,,,,
pk167_3,,,,,,
pk167_4,,,,,,
pk167_5,,,,,,
pk168_1,,,,,,
pk168_2,,,,,,
pk168_3,,,,,,
pk168_4,,,,,,
pk168_5,,,,,,
pk169_1,,,,,,
pk169_2,,,,,,
pk169_3,,,,,,
pk169_4,,,,,,
pk169_5,,,,,,
pk170_1,,,,,,
pk170_2,,,,,,
pk170_3,,,,,,
pk170_4,,,,,,
pk170_5,,,,,,
pk171_1,,,,,,
pk171_2,,,,,,
pk171_3,,,,,,
pk171_4,,,,,,
pk171_5,,,,,,
pk172_1,,,,,,
pk172_2,,,,,,
pk172_3,,,,,,
pk172_4,,,,,,
pk172_5,,,,,,
pk173_1,,,,,,
pk173_2,,,,,,
pk173_3,,,,,,
pk173_4,,,,,,
pk173_5,,,,,,
pk174_1,,,,,,
pk174_2,,,,,,
pk174_3,,,,,,
pk174_4,,,,,,
pk174_5,,,,,,
pk175_1,,,,,,
pk175_2,,,,,,
pk175_3,,,,,,
pk175_4,,,,,,
pk175_5,,,,,,
pk176_1,,,,,,
pk176_2,,,,,,
pk176_3,,,,,,
pk176_4,,,,,,
pk176_5,,,,,,
pk177_1,,,,,,
pk177_2,,,,,,
pk177_3,,,,,,
pk177_4,,,,,,
pk177_5,,,,,,
pk178_1,,,,,,
pk178_2,,,,,,
pk178_3,,,,,,
pk178_4,,,,,,
pk178_5,,,,,,
pk179_1,,,,,,
pk179_2,,,,,,
pk179_3,,,,,,
pk179_4,,,,,,
pk179_5,,,,,,
pk180_1,,,,,,
pk180_2,,,,,,
pk180_3,,,,,,
pk180_4,,,,,,
pk180_5,,,,,,
pk181_1,,,,,,
pk181_2,,,,,,
pk181_3,,,,,,
pk181_4,,,,,,
pk181_5,,,,,,
pk182_1,,,,,,
pk182_2,,,,,,
pk182_3,,,,,,
pk182_4,,,,,,
pk182_5,,,,,,
pk183_1,,,,,,
pk183_2,,,,,,
pk183_3,,,,,,
pk183_4,,,,,,
pk183_5,,,,,,
pk184_1,,,,,,
pk184_2,,,,,,
pk184_3,,,,,,
pk184_4,,,,,,
pk184_5,,,,,,
pk185_1,,,,,,
pk185_2,,,,,,
pk185_3,,,,,,
pk185_4,,,,,,
pk185_5,,,,,,
pk186_1,,,,,,
pk186_2,,,,,,
pk186_3,,,,,,
pk186_4,,,,,,
pk186_5,,,,,,
pk187_1,,,,,,
pk187_2,,,,,,
pk187_3,,,,,,
pk187_4,,,,,,
pk187_5,,,,,,
pk188_1,,,,,,
pk188_2,,,,,,
pk188_3,,,,,,
pk188_4,,,,,,
pk188_5,,,,,,
pk189_1,,,,,,
pk189_2,,,,,,
pk189_3,,,,,,
pk189_4,,,,,,
pk189_5,,,,,,
pk190_1,,,,,,
pk190_2,,,,,,
pk190_3,,,,,,
pk190_4,,,,,,
pk190_5,,,,,,
pk191_1,,,,,,
pk191_2,,,,,,
pk191_3,,,,,,
pk191_4,,,,,,
pk191_5,,,,,,
pk192_1,,,,,,
pk192_2,,,,,,
pk192_3,,,,,,
pk192_4,,,,,,
pk192_5,,,,,,
pk193_1,,,,,,
pk193_2,,,,,,
pk193_3,,,,,,
pk193_4,,,,,,
pk193_5,,,,,,
pk194_1,,,,,,
pk194_2,,,,,,
pk194_3,,,,,,
pk194_4,,,,,,
pk194_5,,,,,,
pk195_1,,,,,,
pk195_2,,,,,,
pk195_3,,,,,,
pk195_4,,,,,,
pk195_5,,,,,,
pk196_1,,,,,,
pk196_2,,,,,,
pk196_3,,,,,,
pk196_4,,,,,,
pk196_5,,,,,,
pk197_1,,,,,,
pk197_2,,,,,,
pk197_3,,,,,,
pk197_4,,,,,,
pk197_5,,,,,,
pk198_1,,,,,,
pk198_2,,,,,,
pk198_3,,,,,,
pk198_4,,,,,,
pk198_5,,,,,,
pk199_1,,,,,,
pk199_2,,,,,,
pk199_3,,,,,,
pk199_4,,,,,,
pk199_5,,,,,,
pk200_1,,,,,,
pk200_2,,,,,,
pk200_3,,,,,,
pk200_4,,,,,,
pk200_5,,,,,,
pk201_1,,,,,,
